img,link 
"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/9478371/2019/11/7/2c291e3a-01ad-4bf4-9918-e09bf76360e91573125158312-Roadster-Women-Sweatshirts-171573125155951-1.jpg",http://www.myntra.com/mailers/topwear/roadster/the-roadster-lifestyle-co-women-rose-solid-hooded-sweatshirt/9478371/buy
"https://assets.myntassets.com/w_412,q_60,dpr_2,fl_progressive/assets/images/27011576/2024/1/19/8ff1e544-14e5-4e12-a997-b54aa9851bc81705671436284StyleCastWomenGreyLonglineTailoredJacket2.jpg",http://www.myntra.com/mailers/topwear/stylecast/stylecast-grey-&-white-colourblocked-spread-collar-open-front-jacket/27011576/buy
https://levi.in/cdn/shop/files/A45380008_02_Back_45dee360-5235-4e5c-af3c-7bb26a94ae7f.jpg?v=1712742942&width=1445,http://www.myntra.com/mailers/topwear/levis/levis-solid-long-sleeves-hooded-padded-jacket/23756796/buy
https://images.fashiola.in/product-list/300x450/myntra/107859544/women-tie-dye-abstract-printed-shirt.webp,http://www.myntra.com/mailers/topwear/stylecast-x-hersheinbox/stylecast-x-hersheinbox-women-tie-dye-abstract-printed-shirt/28638310/buy
"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/15099940/2021/12/6/f8b91b1a-e8fe-4c10-a739-d2e9199985121638775522852-Monte-Carlo-Women-Mustard-Yellow-Embroidered-Hooded-Sweatshi-1.jpg",Buy Monte Carlo Women Mustard Yellow Embroidered Hooded Sweatshirt - Sweatshirts for Women 15099940 | Myntra
"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/25042418/2023/9/18/01466166-f712-470c-bdf6-fb0c548a9cea1695013997119HIGHLANDERMenNavyBlueStripedPufferJacket1.jpg",Buy HIGHLANDER Stand Collar Padded Jacket - Jackets for Men 25042418 | Myntra
"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/26206640/2023/12/2/5830d68a-53e6-4475-8625-10c874e770921701530535277TokyoTalkiesWomenMulticolouredPrintedHoodedSweatshirt1.jpg",http://www.myntra.com/mailers/topwear/tokyo-talkies/tokyo-talkies-white-typography-printed-dyed-relaxed-fit-hood-pullover-sweatshirt/26206640/buy
"https://assets.myntassets.com/w_412,q_60,dpr_2,fl_progressive/assets/images/24912612/2023/9/12/e90eba02-ce20-430e-af3e-ef58f8d8994c1694531996582STREET9WomenBeigeTanStripedCropPullover1.jpg",http://www.myntra.com/mailers/topwear/street-9/street-9-striped-turtle-neck-crop-acrylic-pullover-sweater/24912612/buy
"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/26310408/2023/12/8/fa65e7c5-fda0-446d-a878-f2a6d62db5411701982551951StyleCastGreenTop1.jpg",http://www.myntra.com/mailers/topwear/stylecast/stylecast-teen-girls-green-striped-spread-collar-acrylic-cardigan-sweater/26310408/buy
"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/11987118/2020/7/8/cd797c68-a52c-47c7-a428-4a42fce3ec0e1594179134096-Roadster-Women-Olive-Green--Taupe-Regular-Fit-Printed-Casual-1.jpg",http://www.myntra.com/mailers/topwear/roadster/roadster-women-olive-green-regular-fit-camouflage-print-casual-shirt/7207493/buy
"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/25894622/2023/11/16/ecd58df8-f2c4-4118-8759-984d414f05d91700132440364-THE-BEAR-HOUSE-Men-Blue-Hooded-Sweatshirt-9811700132440064-2.jpg",http://www.myntra.com/mailers/topwear/the-bear-house/the-bear-house-hooded-pure-cotton-pullover-sweatshirt/25894622/buy 
"https://assets.myntassets.com/w_412,q_60,dpr_2,fl_progressive/assets/images/27227778/2024/1/30/a32b9110-ae44-4d28-b0e1-e621f41c6bde1706555173515HMLooseFitHoodie1.jpg", http://www.myntra.com/mailers/topwear/h&m/h&m-men-loose-fit-hoodie/27227778/buy
"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/26053570/2023/11/25/1015cb5f-85f8-421a-a17b-7611a3f6f6311700907485077BAESDMulticolouredTieandDyeBellSleeveCrepeTop1.jpg",http://www.myntra.com/mailers/topwear/baesd/baesd-tie-and-dye-flared-sleeves-top/26053570/buy 
"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/30154311/2024/7/8/fba51bfb-03a4-4c3a-aeee-4698eca452231720458247082HMBoysOversizedCrew-NeckSweatshirt1.jpg",http://www.myntra.com/mailers/topwear/h&m/h&m-boys-oversized-crew-neck-sweatshirt/30154311/buy 
"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/30145334/2024/7/8/b63acf0b-8e98-4fb7-a4d2-d59941e25c521720415169278HMGirlsCrew-NeckSweatshirts1.jpg",http://www.myntra.com/mailers/topwear/h&m/h&m-girls-crew-neck-sweatshirts/30145334/buy
"https://assets.myntassets.com/w_412,q_60,dpr_2,fl_progressive/assets/images/25621426/2023/10/25/ba6d8939-df1b-45e8-8e92-c28fd8bf9ceb1698232434359KidsvilleHelloKittyPrintedBlueSweatshirtForGirls1.jpg",http://www.myntra.com/mailers/topwear/kids-ville/kids-ville-girls-hello-kitty-printed-cotton-sweatshirts/25621426/buy
"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/26013754/2023/11/23/97638f90-39e9-4e19-90cf-03e625022aa11700749511078maxBoysBurgundySweatshirt1.jpg",http://www.myntra.com/mailers/topwear/max/max-boys-typography-printed-hooded-pullover/26013754/buy
