img,link 
"https://assets.myntassets.com/w_412,q_60,dpr_2,fl_progressive/assets/images/23523890/2023/6/5/ac052c17-7119-4566-a753-8a4d4b1516bd1685939511543HIGHLANDERMenBlackLooseFitCargosTrousers1.jpg",https://www.myntra.com/trousers/highlander/highlander-men-cotton-parachute-drop-crotch-relaxed-baggy-fit-cargo-jogger-trousers/23523890/buy
"https://assets.myntassets.com/dpr_1.5,q_60,w_400,c_limit,fl_progressive/assets/images/28726416/2024/5/23/c041a5c1-4053-442d-ab43-15eb163137811716440377586-Indian-Terrain-Mens-Solid-Navy-Brooklyn-Fit-Trouser-54217164-1.jpg",https://www.myntra.com/navy-blue-men-casual-trousers-corduroy
"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/29755240/2024/5/24/32c5961c-1f6e-4718-9533-0fc0312da5db1716528611056GreyBaggyFitParachutePant1.jpg",https://www.myntra.com/track-pants/powerlook/powerlook-men-grey-pure-cotton-track-pants/29755240/buy
"https://assets.myntassets.com/dpr_1.5,q_60,w_400,c_limit,fl_progressive/assets/images/30069742/2024/6/28/8d20aaf0-140f-4129-94cb-4ab3332b0f371719576973813VirgioWomenRelaxedStraightLegStraightFitTrousers1.jpg",https://www.myntra.com/trousers/virgio/virgio-women-mid-rise-loose-fit-trousers/30069742/buy
